Job Title,Job Family,Career Track and Level,Job Description
Software Developer,Software Engineering,P4,"Responsible for designing, developing, and maintaining both front-end and back-end components of web applications, this role ensures seamless functionality across platforms. Collaborates closely with UI/UX designers, project managers, and other developers to deliver responsive, scalable solutions. Utilizes programming languages such as JavaScript, HTML, CSS, and server-side technologies like Node.js or Python to implement robust features. Strong problem-solving and debugging abilities, coupled with proficiency in database management, are essential. Stays current with emerging web technologies and industry best practices to optimize application performance and user experience."
,,,
Web Developer,Software Engineering,P4,"This role involves designing, coding, and modifying websites to create visually appealing and user-friendly digital experiences. Responsibilities include developing website layouts, integrating data from back-end services, and ensuring cross-platform optimization for different devices. The position requires strong proficiency in HTML, CSS, JavaScript, and relevant web frameworks. Attention to detail, problem-solving abilities, and effective communication skills are essential for collaborating with designers and stakeholders. Staying current on industry trends and best practices is necessary to deliver modern and secure web solutions in accordance with organizational goals."
Project Manager,Project Management,M2-6,"This role is responsible for planning, executing, and closing projects within designated timelines and budgets. Duties include defining project scope, setting objectives, coordinating cross-functional teams, and managing resources. The position requires strong organizational, communication, and leadership skills to effectively guide team members and ensure stakeholder satisfaction. Additional responsibilities involve risk management, progress monitoring, and providing regular updates to senior management. Proficiency in project management tools and methodologies is essential for successful project delivery."
,,,
Sales Development Representative,Field Sales,S4,"This role is responsible for identifying and qualifying potential clients to generate new business opportunities. Key duties include conducting outbound prospecting via calls and emails, managing and updating customer relationship management (CRM) systems, and scheduling meetings between prospects and account executives. Strong communication and interpersonal skills are essential for effectively engaging leads and understanding client needs. The ability to work independently, meet targets, and manage time efficiently is required. Familiarity with sales processes and digital outreach tools is highly valued in this service-focused position."
Account Executive,Account Management,P2,"This role involves identifying and securing new business opportunities, as well as maintaining strong relationships with existing clients to drive service sales. Key responsibilities include conducting market research, developing tailored proposals, and negotiating contracts to meet revenue targets. The position requires excellent communication, presentation, and interpersonal skills, along with a strong ability to understand client needs and offer appropriate solutions. Regular collaboration with internal teams ensures successful service delivery and customer satisfaction. Analytical thinking and organization are essential for tracking progress and managing multiple accounts effectively."
,,,
,,,
Account Executive,Account Management,P2,"This role involves identifying and securing new business opportunities, as well as maintaining strong relationships with existing clients to drive service sales. Key responsibilities include conducting market research, developing tailored proposals, and negotiating contracts to meet revenue targets. The position requires excellent communication, presentation, and interpersonal skills, along with a strong ability to understand client needs and offer appropriate solutions. Regular collaboration with internal teams ensures successful service delivery and customer satisfaction. Analytical thinking and organization are essential for tracking progress and managing multiple accounts effectively."
Account Executive,Account Management,P3,"This role involves identifying and securing new business opportunities, as well as maintaining strong relationships with existing clients to drive service sales. Key responsibilities include conducting market research, developing tailored proposals, and negotiating contracts to meet revenue targets. The position requires excellent communication, presentation, and interpersonal skills, along with a strong ability to understand client needs and offer appropriate solutions. Regular collaboration with internal teams ensures successful service delivery and customer satisfaction. Analytical thinking and organization are essential for tracking progress and managing multiple accounts effectively."
Account Executive,Account Management,P4,"This role involves identifying and securing new business opportunities, as well as maintaining strong relationships with existing clients to drive service sales. Key responsibilities include conducting market research, developing tailored proposals, and negotiating contracts to meet revenue targets. The position requires excellent communication, presentation, and interpersonal skills, along with a strong ability to understand client needs and offer appropriate solutions. Regular collaboration with internal teams ensures successful service delivery and customer satisfaction. Analytical thinking and organization are essential for tracking progress and managing multiple accounts effectively."
,,,
